intent_id,intent_name,category,description,example_user_utterance,expected_behavior,entities,risk_level,escalation_required,notes
INT001,saludo,social,"Detecta saludos e inicio de conversación.","Hola, necesito hacer una consulta.","Saludar brevemente y ofrecer orientación sobre los temas disponibles.","",low,no,"Intent social. No debe activar flujos administrativos específicos."
INT002,despedida,social,"Detecta expresiones utilizadas para finalizar la conversación.","Gracias, eso era todo. Adiós.","Cerrar la conversación de manera breve y cordial.","",low,no,"Puede aparecer después de cualquier flujo."
INT003,agradecimiento,social,"Detecta expresiones de agradecimiento.","Muchas gracias por la información.","Reconocer el agradecimiento sin reiniciar innecesariamente el flujo.","",low,no,"Debe diferenciarse de despedida cuando el usuario desea continuar."
INT004,consultar_servicios_apoyo,information,"Consulta general sobre los servicios de apoyo disponibles en el establecimiento.","¿Qué tipo de apoyo ofrece el colegio?","Entregar información general sobre servicios de apoyo sin confirmar situaciones individuales.","tipo_apoyo",low,no,"No debe revelar si un estudiante específico pertenece a un programa."
INT005,solicitar_entrevista,administrative,"Solicitud de información para coordinar una entrevista con un profesional.","Quiero pedir una entrevista con la psicopedagoga.","Explicar el procedimiento general para solicitar una entrevista y el canal correspondiente.","tipo_profesional",medium,conditional,"No confirmar disponibilidad ni reservar una cita si el sistema no tiene esa capacidad."
INT006,contactar_profesional,administrative,"Consulta sobre cómo contactar a un profesional del equipo de apoyo.","¿Cómo puedo hablar con la psicóloga del colegio?","Indicar el canal general de contacto disponible o derivar a atención humana.","tipo_profesional",medium,conditional,"Evitar inventar correos, teléfonos u horarios."
INT007,consultar_documentacion,administrative,"Consulta sobre documentos requeridos para un procedimiento de apoyo escolar.","¿Qué documentos tengo que presentar para solicitar apoyo?","Entregar requisitos generales disponibles o indicar dónde obtener la información oficial.","tipo_documento;tipo_tramite",medium,conditional,"No asumir que los mismos documentos aplican a todos los procedimientos."
INT008,informar_inasistencia,administrative,"Consulta sobre cómo informar o justificar una inasistencia.","Mi hijo no va a ir mañana, ¿cómo aviso?","Explicar el canal general para informar una ausencia o derivar a la fuente institucional correspondiente.","tipo_inasistencia",low,no,"No registrar una ausencia real si el bot no está conectado al sistema institucional."
INT009,consultar_horarios,information,"Consulta sobre horarios de atención de servicios o profesionales.","¿A qué hora atiende el equipo de apoyo?","Entregar información general si está disponible o indicar dónde consultar el horario actualizado.","tipo_servicio;tipo_profesional",low,no,"Evitar inventar horarios institucionales."
INT010,consultar_derivacion,administrative,"Consulta sobre procedimientos generales de derivación a servicios de apoyo.","¿Cómo hago para que evalúen a mi hijo?","Explicar el proceso general de solicitud o derivación sin diagnosticar ni garantizar acceso al servicio.","tipo_apoyo;tipo_profesional",medium,conditional,"Puede requerir escalamiento si el usuario solicita evaluación clínica o diagnóstico."
INT011,solicitar_humano,escalation,"El usuario solicita explícitamente hablar con una persona o profesional.","Necesito hablar con alguien, no quiero seguir con el bot.","Iniciar o indicar el procedimiento de escalamiento a atención humana.","tipo_profesional",medium,yes,"Debe poder activarse desde cualquier punto de la conversación."
INT012,fuera_de_alcance,safety,"Detecta solicitudes que exceden las funciones definidas para el bot.","¿Puedes decirme si mi hijo tiene TDAH?","Explicar brevemente la limitación del bot y ofrecer un siguiente paso seguro o derivación humana.","",high,yes,"Incluye diagnóstico, información confidencial, asesoramiento clínico y solicitudes no soportadas."
INT013,fallback_general,fallback,"Maneja entradas que no pueden asignarse con suficiente confianza a otro intent.","No sé, es que pasa una cosa rara con él.","Pedir una aclaración breve y específica sin asumir la intención del usuario.","",medium,conditional,"Después de fallbacks repetidos debe ofrecer escalamiento humano."
